jiu5-hi5	鰇魚
kha-tshng	尻川
kong2	管
lang5-kheh	人客
lian3	輾
liong7	冗
loo2-lat8	勞力
m7-koh	毋過
pan7-se3	範勢
phah-sng3	拍算
ngiau	撓
oh	僫
poo2	脯
pue2	掰
sap	霎
thang3	迵
thau2	敨
tan5	陳
tsa-hng	昨昏
tshuan5	攢
tsian	煎
un3	搵
tsu7	苴
tshi3-moo-thang5	刺毛蟲
thang3	痛
thoo2	土
thoo5	塗
ap	壓
ak	沃
a	阿
ah8	盒
ai3	愛
ang	翁
an2-ne	按呢
au2	拗
au7-jit8	後日
au7--jit8	後日
bak8	目
bang2	蠓
ban5-phue5	蠻皮
bat	捌
beh	欲
bi5	微
bin7	面
bin5-a2-tsai3	明仔載
bong2	罔
bu2	舞
bue2	尾
gia5	夯
giap8	挾
he	彼
hau7-senn	後生
hau2	吼
ham7-bin5	陷眠
ham7	陷
hiong5-hiong5	雄雄
hip	翕
honn3	好
hoo5-sin5	胡蠅
huah	喝
huat-too7	法度
hui5-a2	瓷仔
hui3-khi3	費氣
hun7	份
i	伊
ia7	也
ian5-tau5	緣投
iau	枵
iau2	猶
ing5	閒
ioh	臆
jia	遮
jiau2	爪
jip8	入
jit8	日
juah8	熱
ka	加
ka7	共
kah	蓋
kah-i3	佮意
kai2	改
kang	工
ka-ti7	家己
ka-to	鉸刀
ke	加
kha	跤
khang	空
khng3	囥
khi	攲
khia7	徛
khiau2	巧
khong3	炕
khuan2	款
khuann3-mai7	看覓
khun3	睏
ki	枝
kiann5	行
kian3-na7	見若
kin2	緊
king2	揀
koh	閣
koo5	糊
koo2-i3	古意
kua3	卦
kua3	蓋
kuann	乾
kuann5	寒
kuan3-si3	慣勢
kue2	粿
kue2-tsi2	果子
kui	規
kui2-na7	幾若
lai7	內
lak	落
lan2	咱
lang5	人
lang5-sng5	籠床
lap	塌
lau7-hue3-a2	老歲仔
leh	咧
li2	你
liah8	掠
liam5-mi	連鞭
lian2	撚
lin2	恁
ling	奶
ling7	冗
liu2	紐
long2	攏
loo2	惱
luah8	捋
m7	毋
ma7	嘛
me5	暝
na7	若
na5-au5	嚨喉
ngeh	莢
ni	拈
niau2-tshi2	鳥鼠
oo	烏
oo2	挖
pa	爸
pe7	爸
pha	葩
phainn2	歹
phainn2-se3	歹勢
phang	芳
phinn7	鼻
phoh	粕
phong3	膨
phong7-ko2	蓬果
phoo	舖
phoo3	舖
phoo5	扶
phui3	呸
piann3	拚
pian7-soo2	便所
ping2	反
ping5	爿
pin5-tuann7	貧惰
pong7	磅
pong7-khang	磅空
pu3	富
pue7-bong7	培墓
pun5	歕
pun3-so3	糞埽
san2	瘦
sann	衫
san3-tshiah	散赤
san3-tsiah8	散食
se3	細
seh8	踅
siann2	啥
siau3	數
siau3-liam7	數念
siau3-siunn7	數想
si3-ke3	四界
sik8-sai7	熟似
sin-khu	身軀
sin-pu7	新婦
sio2-khua2	小可
siong7	上
siunn	傷
sng2	耍
su	軀
sua2	徙
suah	煞
suann3	散
sui2	媠
tai	呆
tai7-tsi3	代誌
tak8	逐
tam7-poh8	淡薄
tan3	擲
tang3-sng	凍霜
tann	今
tau	兜
tau3	鬥
te2	貯
tng3	頓
thai5	刣
than3	趁
thang	通
that	窒
thau5	頭
thau5-loo7	頭路
the3	替
thiau-kang	刁工
tho2-tse3	討債
thuah	屜
ti7	箸
tiann5	埕
tiann7-tiann7	定定
tian-to3	顛倒
tin7	陣
tin3-ui7	鎮位
tioh8	著
tiong-tau3	中晝
tiunn-ti5	張持
to	都
to3	倒
tok-ku	啄龜
too7-kun2	杜蚓
tsa-boo2	查某
tsah	紮
tsai	知
tsai5-tiau7	才調
tsam7-tsat	站節
tsap8-liam7	雜唸
tsat	節
tsau2	走
tsau3	灶
tse	這
tse7	濟
tshak8-bak8	鑿目
tsham	摻
tsham	參
tsheh	冊
tshenn-hun7	生分
tshenn-me5	青盲
tshia	車
tshiah	刺
tshiann3	倩
tshing7	穿
tshing-khi3	清氣
tshin3-tshai2	凊彩
tshin-tshiunn7	親像
tshit	拭
tshong3	創
tshong3-ti7	創治
tshu3	厝
tshua7	娶
tshuah	掣
tshui3	喙
tsia	遮
tsia-e5	遮的
tsiah8	食
tsiann5	誠
tsiann5	成
tsiau3-khi2-kang	照起工
tsio2	少
tsit	這
tsit8-kua2	一寡
tsoh-sit	作穡
tso3-hue2	做伙
tsun7	陣
tu2	拄
uan-ke	冤家
uann3	晏
uat	斡
an2-tsuann2	按怎
bai2	䆀
bak8-ni7	茉莉
bak8-sai2	目屎
ban2	挽
bang5	茫
be7	袂
bin5-bang7	眠夢
bo5-khah-tsuah8	無卡縒
e7-tang3	會當
giah8	攑
gua7	外
sak	捒
am7-kun2	頷頸
an5	絚
ban7-tshiann2	慢且
bin2-tau7	敏豆
hun2-tsiau2	粉鳥
a-kim7	阿妗
a-m2	阿姆
ainn7	偝
am2	泔
ut-tsut	鬱卒
ui	揻
uan3-than3	怨嘆
ua2	倚
tua3	蹛
tsiu7	就
tsik8-bok8	寂寞
tsiam-tsi2	針黹
tsiah	才
tsiah	遮
tshinn	鮮
tshio3-hai-hai	笑咍咍
tshing-phang	清芳
tshin-tsiann5	親情
tsau2-bi7	走味
tong3-tso3	當做
toh8	著
to7	就
to2-ui7	佗位
tit	得
tinn7	滇
tiau5	牢
tiam3	踮
thua	拖
thin5	斟
theh8	提
the3-uann7	替換
thau3-tsa2	透早
tau3-sann-kang7	鬥相共
tam5	澹
ta	焦
sua3	紲
su-boo7	思慕
so2-si5	鎖匙
siu7-khi3	受氣
sio-tsioh-mng7	相借問
sim-sng	心酸
siau3-lian5	少年
siau2	痟
siann2-mih	啥物
poo	埔
phue	批
pan5	瓶
oo-am3	烏暗
niu5-kiann2	娘囝
ma2	媽
lun2	忍
kui-khi3	規氣
kuan5	懸
kong2	講
king2-ti3	景緻
sit-tsi3	失志
kik	激
kiah8	屐
kho2-pi2	可比
kha-tsiah	尻脊
ke-au7	家後
kau3	到
kang2-too	港都
kam2	敢
kam	甘
kah	甲
jua7	偌
ju2	愈
jit8--si5	日時
iu2-hau3	有孝
iu5-guan5	猶原
im-thim	陰鴆
ian3-khi3	厭氣
ian-tsi	胭脂
hun	薰
hing5-iann2	形影
hiah-ni7	遐爾
hai2-ing2	海湧
hai2-hai2	海海
gerh8-niu5	月娘
am7	頷
ing2	往
iong2-kiann7	勇健
kang7	仝
kap	敆
am	掩
au2	漚
au3	漚
au3	懊
au5	喉
au7	后
au7	後
a	鴉
a	亞
a	腌
hai2-ling5-ong5	海龍王
khui3-lat8	氣力
ah	押
ah	抑
ah	矣
ah8	曷
ah8	抑
siau2-iu2	痟友
at	遏
au	漚
au	甌
au	歐
ba7	峇
bat8	密
bi5	眯
bi7	沬
bih	覕
bin2	抿
but-a2-hi5	魩仔魚
e7	下
e7-hai5	下頦
gai7-gioh8	礙虐
gang7	愣
gau5	𠢕
giap	鋏
gim7	扲
ging5	凝
ha5	縖
hah8	箬
ham3	譀
hiam	薟
hiat	㧒
hiau-pai	囂俳
hong-thai	風颱
hu	撫
hu2	拊
huan-thau5	翻頭
hue-bi5	花眉
i2-liau5	椅條
i7	奕
iah8-a2	蛾仔
iu3-siu3	幼秀
jim5	撏
jiu5	揉
jiok8	搙
jue5	挼
ka	虼
ka-tsau2	虼蚤
ka-tsuah8	虼蠽
ka-lun2-sun2	交懍恂
ka2-na2	敢若
kak8	捔
kam2-a2-tiam3	𥴊仔店
kan-khoo2	艱苦
kan-na	干焦
pian2	諞
pian2-sian	諞仙
kai3	界
kau-kai3	交界
so5	趖
kau2-kuai3	狡怪
ke-po5	家婆
ke5	膎
ka-tshiunn3	咳啾
kha-tshiunn3	咳啾
kha-thau5-u	跤頭趺
kha3	敲
kha3-iu5	敲油
khah8	卡
kham2	坎
kham3	崁
khap8	嗑
khau	薅
khau	剾
khe3	齧
khi2-thok	齒戳
khia7-go5	徛鵝
khian	掔
khiang3	勥
khiau	曲
khik-khui	克虧
khinn5	拑
khioh	抾
khip	扱
khit8	杙
khiu2	搝
giu2	搝
khiu5	虯
khiu5-moo	虯毛
kho2	洘
kho2-thau5-be5	洘頭糜
khok	觳
tsui2-khok-a2	水觳仔
khok8	硞
sio-khok8	相硞
khong	悾
khong-khong gong7-gong7	悾悾戇戇
khoo	箍
khu5	跍
khuinn3-uah8	快活
kiau2	筊
kin-tsio	弓蕉
kinn5	墘
kiu	勼
kiu3	糾
kiu3-tua3	糾帶
kiu3-kin	糾筋
kiu3-hun	糾紛
koo-tsiann5	姑情
koo2	鈷
ku	跔
kue-a2-ni5	瓜仔哖
kueh8	橛
kui	胿
kut-lat8	骨力
la5-a2	蜊仔
la5-gia5	蟧蜈
